spectrum_id,scan,Precursor_MZ,Charge,Smiles,INCHI,InChIKey_smiles,InChIKey_inchi
CCMSLIB00000085813,1078,224.131,1,CCN(CC)C(=O)c1ccc(O)c(OC)c1,N/A,BQJODPIMMWWMFC-UHFFFAOYSA-N,
CCMSLIB00000085814,1079,302.179,1,CC(COc1ccccc1)NC(C)C(O)c2ccc(O)cc2.Cl,N/A,QVPSGVSNYPRFAS-UHFFFAOYSA-N,
CCMSLIB00000085815,1080,357.132,1,CCc1ccc(CCOc2ccc(CC3SC(=O)NC3=O)cc2)nc1.Cl,N/A,GHUUBYQTCDQWRA-UHFFFAOYSA-N,
CCMSLIB00000085816,1081,229.099,1,OC(=O)/C=C/c1ccc(Cn2ccnc2)cc1.Cl,N/A,CWKFWBJJNNPGAM-IPZCTEOASA-N,
CCMSLIB00000085817,1082,201.105,1,CC1=NCCc2c1[nH]c3cc(O)ccc23.O.Cl,N/A,PRUWMZVKQJAONC-UHFFFAOYSA-N,
CCMSLIB00000085818,1083,357.069,1,C[C@@]1(Cc2cc(OCC(=O)O)c(Cl)c(Cl)c2C1=O)C3CCCC3,N/A,RNOJGTHBMJBOSP-QGZVFWFLSA-N,
CCMSLIB00000085819,1084,287.1,1,Cc1cc(NC(=O)Nc2ccc3n(C)ccc3c2)sn1,N/A,USFUFHFQWXDVMH-UHFFFAOYSA-N,
CCMSLIB00000085820,1085,340.233,1,C[C@@H](CN1CCC(Cc2ccccc2)CC1)[C@@H](O)c3ccc(O)cc3.Cl,N/A,MKTZWXWTQQOMSH-OTCZLQCGSA-N,
CCMSLIB00000085821,1086,351.177,1,OC(=O)C1=CCCN(CCON=C(c2ccccc2)c3ccccc3)C1.Cl,N/A,YZYRTEYMUTWJPL-UHFFFAOYSA-N,
CCMSLIB00000085822,1087,256.173,1,CN(C)CCOC(c1ccccc1)c2ccccc2,N/A,ZZVUWRFHKOJYTH-UHFFFAOYSA-N,
CCMSLIB00000085823,1088,291.089,1,O[C@H]1Cc2c(O)cc(O)cc2O[C@@H]1c3ccc(O)c(O)c3.O,N/A,OFUMQWOJBVNKLR-NQQJLSKUSA-N,
CCMSLIB00000085824,1089,411.18,1,CC(C)n1c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])c(c2ccc(F)cc2)c3ccccc13.[Na+],N/A,ZGGHKIMDNBDHJB-NRFPMOEYSA-M,
CCMSLIB00000085825,1090,281.105,1,C[N+](C)(C)CC#CCOC(=O)Nc1cccc(Cl)c1.[Cl-],N/A,CXFZFEJJLNLOTA-UHFFFAOYSA-N,
CCMSLIB00000085826,1091,342.243,1,CCC(C)C(N)C(=O)N1CCCC1C(=O)NC(C(C)CC)C(=O)O,N/A,JNTMAZFVYNDPLB-UHFFFAOYSA-N,
CCMSLIB00000085827,1092,266.142,1,COc1ccc(C[C@H]2NC[C@H](O)[C@H]2OC(=O)C)cc1,N/A,YKJYKKNCCRKFSL-RDBSUJKOSA-N,
CCMSLIB00000085828,1093,823.427,1,CO[C@H]1C=CO[C@@]2(C)Oc3c(C2=O)c4c(O)c(C=NN5CCN(C)CC5)c(NC(=O)C(=CC=C[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(=O)C)[C@@H]1C)C)c(O)c4c(O)c3C,N/A,JQXXHWHPUNPDRT-GHGVGPBWSA-N,
CCMSLIB00000085829,1094,419.079,1,Ic1ccc(cc1)N2CCN(Cc3c[nH]c4ncccc34)CC2.Cl,N/A,AGBDKCPOVYLQJI-UHFFFAOYSA-N,
CCMSLIB00000085830,1095,366.071,1,CC1Nc2cc(Cl)c(cc2C(=O)N1c3ccccc3C)S(=O)(=O)N,N/A,AQCHWTWZEMGIFD-UHFFFAOYSA-N,
CCMSLIB00000085831,1096,321.135,1,Nc1ncnc2n(cnc12)C3OC(C(O)C3O)C(=O)NC4CC4,N/A,MYNRELUCFAQMFC-UHFFFAOYSA-N,
CCMSLIB00000085832,1097,213.105,1,COc1ccc2c(c1)[nH]c3c(C)nccc23.Cl,N/A,VNPLYCKZIUTKJM-UHFFFAOYSA-N,
CCMSLIB00000085833,1098,242.082,1,COc1nc(C)nc(Cl)c1NC2=NCCN2.Cl,N/A,ZZPAWQYZQVUVHX-UHFFFAOYSA-N,
CCMSLIB00000085834,1099,501.313,1,C[C@H](O)[C@H](C)[C@@H]1O[C@H]1C[C@H]2CO[C@@H](C/C(=C/C(=O)OCCCCCCCCC(=O)O)/C)[C@H](O)[C@@H]2O,N/A,MINDHVHHQZYEEK-HBBNESRFSA-N,
CCMSLIB00000085835,1100,406.199,1,CCN(CC)CCOc1ccc(cc1)/C(=C(/Cl)\c2ccccc2)/c3ccccc3,N/A,GKIRPKYJQBWNGO-OCEACIFDSA-N,
CCMSLIB00000085836,1101,296.189,1,COC(=O)CCc1ccc(OCC(O)CNC(C)C)cc1.Cl,N/A,GEKNCWBANDDJJL-UHFFFAOYSA-N,
CCMSLIB00000085837,1102,292.21,1,C(N1CCC2(CCCc3ccccc32)CC1)c4ccccc4.Cl,N/A,ZKKYQWOBXVJKIR-UHFFFAOYSA-N,
CCMSLIB00000085838,1103,489.255,1,CCOC(=O)O[C@@]1(CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C)C(=O)COC(=O)CC,N/A,FNPXMHRZILFCKX-KAJVQRHHSA-N,
