CLUSTERID1	CLUSTERID2	Cosine
3	81	0.9999151403163733
12	1022	0.9999155750248208
12	1401	0.9999820934829962
16	373	0.9999539657144584
16	780	0.9999658256943506
16	1004	0.9999076630040109
17	111	0.999904204801871
17	396	0.9999109812909605
17	601	0.9999346837244115
17	988	0.9999202816701617
17	1436	0.999912499409567
19	47	0.9999321655444395
19	125	0.999942657151572
19	129	0.9999869811297888
19	575	0.9999102790658553
19	616	0.9999092629312069
19	729	0.9999131435261717
19	825	0.9999840921283418
19	998	0.9999219470219725
19	1154	0.9999038047941314
19	1407	0.9999205018452914
21	1407	0.9999216385157479
31	234	0.9999158312870211
31	590	0.999911338554238
31	926	0.9999303151900953
31	1166	0.9999235218309039
33	683	0.999958096693919
41	811	0.9999644420353349
47	125	0.9999543338761969
47	129	0.9999484868602532
47	768	0.9999532843546359
47	825	0.9999536679453043
47	998	0.9999825198850911
47	1407	0.9999141964517682
53	1113	0.9999634256240928
55	308	0.9999152268935766
55	626	0.9999002313060094
55	996	0.9999012144318122
55	1141	0.9999253328856972
55	1457	0.9999122327172423
57	1114	0.999900594957582
59	560	0.9999773156434689
59	591	0.9999189606804074
59	1422	0.999905097033976
61	1073	0.9999296668523008
61	1457	0.9999010164265436
62	889	0.9999080710623525
62	899	0.9999291997886448
64	749	0.9999041594382869
66	882	0.9999393438014139
67	745	0.9999106016147123
68	1081	0.9999780681497838
71	145	0.9999121253180535
71	764	0.9999208891575629
71	853	0.99990619393174
71	1218	0.9999404176380065
71	1304	0.9999377559392624
73	446	0.9999210646340377
73	479	0.999978164344862
73	818	0.9999072414970425
74	216	0.9999122867033668
74	539	0.999908577705048
79	977	0.9999407947266343
80	1168	0.9999273131031019
81	621	0.9999360434923132
81	1168	0.9999107087284749
88	776	0.9999329025248808
90	150	0.9999067392783361
90	574	0.9999046805965897
91	379	0.9999367077820169
94	1354	0.9999090762956224
97	1333	0.9999222879472094
99	1166	0.9999155310868018
102	137	0.9999002252739262
102	1290	0.9999295754973963
108	1069	0.9999035370331835
108	1366	0.9999418093801209
111	276	0.9999094434274495
111	565	0.9999314973905489
111	601	0.9999007872863258
111	1431	0.9999190529637964
111	1436	0.9999022645375453
112	1251	0.9999075394070989
119	431	0.9999245999129515
120	327	0.999905013386706
120	1302	0.9999309014774986
124	148	0.9999316197062411
124	700	0.9999229914937549
125	129	0.9999509812492475
125	227	0.999907164725496
125	825	0.999935378299835
125	998	0.9999461654821966
125	1407	0.9999103156662423
125	1426	0.9999049403746678
126	1119	0.9999160819751473
127	344	0.9999078560660439
128	663	0.9999543416399701
128	1266	0.9999211559230485
129	575	0.9999176792426553
129	616	0.9999138283374231
129	825	0.9999909520312673
129	998	0.999951402195953
129	1407	0.9999182131306172
135	916	0.9999092348314012
137	1110	0.9999018922064189
138	227	0.9999050549795133
138	460	0.9999328045784427
138	974	0.9999141847888082
140	284	0.999926759940534
140	953	0.9999045712022039
142	511	0.9999051008373463
142	520	0.9999300620808512
142	1286	0.9999222344220435
142	1443	0.9999203473680529
144	736	0.9999448714773134
145	1304	0.9999200778564792
148	284	0.9999369452441427
148	700	0.9999253376132257
149	151	0.9999482947118037
149	158	0.9999162920546705
149	175	0.9999944349660503
149	622	0.9999954420454327
149	718	0.9999120964152857
149	976	0.9999106946651712
149	1047	0.9999423074675396
149	1299	0.9999096322343073
149	1381	0.9999720747119647
151	175	0.9999487722410887
151	352	0.9999196485451971
151	622	0.9999679037087095
151	976	0.9999122173805246
151	1047	0.9999138918391228
151	1299	0.9999499481011063
151	1381	0.999947599363461
152	547	0.9999120849481897
156	574	0.999923198069513
156	1097	0.9999078073392237
158	175	0.9999062533282954
158	622	0.9999122371256686
158	718	0.9999067214907762
159	306	0.9999245231798661
159	540	0.9999026077051751
159	1078	0.999918843425003
161	354	0.9999468051881121
161	629	0.9999788418369107
161	705	0.999917026461437
161	1007	0.9999596492151701
161	1018	0.9999420949450161
167	767	0.9999470634066181
171	636	0.9999022566175092
172	350	0.9999900501590187
172	763	0.9999704120977411
172	856	0.9999863871532192
172	1312	0.9999909190951337
173	547	0.9999037378574165
175	352	0.9999216441153287
175	622	0.9999915898954651
175	718	0.9999284288486594
175	1047	0.9999344043906693
175	1299	0.9999195484136074
175	1381	0.9999813817778958
177	296	0.999968029772276
177	872	0.9999310165822399
180	1102	0.9999464352110401
190	1043	0.999901425604209
200	616	0.999968852438309
203	1197	0.9999539190496438
206	1369	0.9999283283010904
209	1390	0.9999239607030058
211	893	0.9999079312677828
225	942	0.9999047132941494
227	983	0.9999388592402051
227	1302	0.9999655052328724
230	252	0.9999255795369859
230	1341	0.999937103870578
236	650	0.9999425911210174
236	981	0.9999201087752283
244	347	0.9999709656707729
244	474	0.9999021085050743
244	490	0.9999050148189144
244	677	0.9999058176889446
244	1036	0.9999238165779015
244	1318	0.9999430509181515
251	531	0.9999011569477885
251	1161	0.9999491892280682
252	396	0.9999131412306377
252	508	0.9999323483725988
256	1291	0.9999138031187297
256	1400	0.9999099631128461
257	548	0.9999132295053035
257	915	0.9999248282999949
260	987	0.9999127248413691
276	565	0.9999041586538325
276	601	0.9999094628838829
276	630	0.9999011034667351
276	788	0.9999100131644878
276	1102	0.9999119496934532
276	1283	0.9999239634824274
276	1431	0.9999311006567729
277	798	0.9999688201742547
277	1137	0.9999132408035298
283	1044	0.999907352255494
284	396	0.9999141754413197
284	788	0.9999062233496891
284	1073	0.9999045986806372
284	1409	0.9999146840365449
284	1431	0.9999288954131019
288	1421	0.9999800127170879
289	680	0.9999143878114317
291	560	0.9999007848612611
291	591	0.9999096551353726
291	1058	0.9999406410763024
293	363	0.9999355407998474
293	539	0.9999003490642796
293	1188	0.9999295745463084
301	540	0.9999214913353679
301	1043	0.9999295003300208
306	540	0.9999104699501098
306	1436	0.9999318287012795
308	346	0.999943968068604
308	626	0.9999606972990919
308	1141	0.999932590463332
308	1457	0.9999699520151148
310	644	0.9999291410167079
315	332	0.999952456785471
315	367	0.9999118540137966
315	1017	0.9999344905679726
316	333	0.9999060769578854
318	935	0.9999096081437042
327	1129	0.9999134743932334
327	1188	0.9999610251310896
330	835	0.9999762010710778
332	1017	0.9999261212484636
337	630	0.9999096705792092
337	666	0.9999047722593988
338	928	0.9999237359751516
338	1117	0.9999149936104382
341	1368	0.9999131245027096
345	349	0.9999246502388071
345	440	0.9999294836372176
345	1019	0.9999557073923848
345	1087	0.9999275352649368
346	1283	0.9999124708948048
346	1457	0.9999409342780503
347	474	0.9999470951026741
347	1318	0.9999273669846227
349	1019	0.9999272975521076
350	763	0.9999584573037912
350	856	0.9999925011753522
350	1312	0.9999909845806966
352	622	0.9999128430255042
