CLUSTERID1	CLUSTERID2	Cosine
1	362	0.999848449004777
2	68	0.9997339395316609
2	138	0.9997844422666813
2	208	0.9996465723110501
2	222	0.9996655711871483
2	227	0.9996556982123164
2	254	0.9997720204277438
2	390	0.999798961212145
2	420	0.9996989145378603
2	434	0.9997466118304832
2	444	0.9997292709336704
2	460	0.99976810763394
2	640	0.9996750404443692
2	647	0.9996447951002384
2	768	0.9996221803723595
2	819	0.9996061668370266
2	881	0.999784567444764
2	974	0.9998381647913865
2	983	0.9996020842419608
2	985	0.9996281471301518
2	1000	0.9997452137109659
2	1030	0.9996458211409294
2	1081	0.9996901261146698
2	1084	0.9996107544570809
2	1105	0.9996330249346685
2	1216	0.9996385125236759
2	1284	0.9996234777307937
2	1310	0.9997668818631393
2	1407	0.9996060233375316
3	7	0.999610352064277
3	53	0.9996394059506841
3	65	0.9996248093860012
3	76	0.9996834961073415
3	80	0.9996859929079086
3	81	0.9999151403163733
3	90	0.9996290513707776
3	94	0.9996109797261081
3	139	0.9996225435783492
3	149	0.9996322366138557
3	150	0.9996937915771835
3	151	0.9996003862694078
3	152	0.9996987168989189
3	158	0.9996509383899705
3	164	0.9997387175932783
3	175	0.9996321393755652
3	185	0.9996316295709746
3	190	0.9997030467368083
3	225	0.999621917210503
3	236	0.999750235998392
3	241	0.9998597656332042
3	265	0.9997179985847084
3	301	0.9996146616812027
3	343	0.9996063546380374
3	344	0.9996061263283915
3	345	0.9997291568017468
3	349	0.9996128121220531
3	352	0.999696379761698
3	364	0.9996394114644005
3	382	0.9998170478017856
3	384	0.9997079495534564
3	391	0.9996311354567633
3	406	0.9996807880158057
3	417	0.9996804945148317
3	436	0.9996555199965097
3	440	0.9997023894465156
3	449	0.9997059102909749
3	450	0.9997943979158102
3	485	0.9996638283896617
3	494	0.9996461187925199
3	499	0.9996131957182508
3	529	0.9997756198907864
3	540	0.9996672533333995
3	552	0.9996274831275849
3	556	0.9996464310156326
3	608	0.9996289873244559
3	621	0.9998595260369263
3	622	0.999635438861684
3	623	0.9996743646348702
3	648	0.9996320248905104
3	650	0.9997458577313487
3	658	0.9997759248226572
3	683	0.9996929339068312
3	718	0.9996825101254941
3	784	0.9996517109364715
3	813	0.9996321395767527
3	844	0.9997647228383091
3	864	0.9997760269522822
3	865	0.9997055024232262
3	866	0.999703950098614
3	884	0.9996690903850043
3	893	0.9996590753608308
3	941	0.9996206871721768
3	976	0.9996679586411028
3	981	0.9997472460394023
3	982	0.9996569790233716
3	1007	0.9996378467465254
3	1008	0.9996711770920806
3	1009	0.9997269913957183
3	1010	0.9997201166314431
3	1019	0.9996409577395011
3	1025	0.9996464486711429
3	1031	0.9996089053415309
3	1057	0.9997524857649538
3	1075	0.9996011155986604
3	1086	0.9996533598958781
3	1087	0.9997247483284308
3	1095	0.9996426324481231
3	1168	0.999764066792163
3	1198	0.9997663358006312
3	1208	0.9998343067649857
3	1215	0.9997043718744014
3	1224	0.9997084569476193
3	1252	0.9996265185206887
3	1254	0.9996873911948363
3	1265	0.9997106640422164
3	1281	0.99966477358582
3	1299	0.9996561846329499
3	1313	0.9996005731359237
3	1410	0.999614389700255
3	1417	0.9996822029951156
3	1419	0.9997154228522545
3	1453	0.9996852605991149
4	6	0.9997192547580476
4	660	0.9996186802401406
4	786	0.9998043027699521
4	855	0.9996041680214509
4	862	0.999817284941402
4	875	0.9996823867331623
4	1051	0.9996490303932444
4	1092	0.9997039355126747
4	1217	0.9997028149594565
4	1315	0.9996592172225258
4	1430	0.9997026528051066
5	53	0.9996596106552806
5	88	0.9997862577769967
5	100	0.999779329331693
5	126	0.9996054015549004
5	172	0.9997042373757057
5	206	0.9996426223877586
5	269	0.9996449340901825
5	299	0.9996119797790811
5	300	0.999736986382441
5	350	0.9996737447050049
5	354	0.9996309686227038
5	361	0.999645210262911
5	410	0.9997558398485009
5	501	0.9996881786267715
5	588	0.999749605204534
5	620	0.999689471268979
5	732	0.9997144796505386
5	758	0.9998061799236193
5	763	0.9996538289931922
5	776	0.9997040404192569
5	791	0.9996758446705349
5	800	0.999609040862397
5	808	0.9996375455099846
5	856	0.999703495823534
5	900	0.9996375656755481
5	1007	0.9996757229394231
5	1018	0.9996251081056493
5	1113	0.9996833159409395
5	1147	0.999614653668718
5	1180	0.9996510813397008
5	1199	0.9997256248580069
5	1218	0.9996867932949546
5	1247	0.9996304685202984
5	1259	0.9996354504711076
5	1277	0.9996486212517963
5	1296	0.9996975134766647
5	1312	0.9997119856689487
5	1313	0.9996000083115055
5	1348	0.9996248534755423
5	1369	0.9996549563650532
6	68	0.9996070233116584
6	111	0.9996420950410685
6	120	0.9996696388791932
6	157	0.9996389237173653
6	254	0.9996050213176358
6	327	0.9996079841869745
6	416	0.999600677531117
6	420	0.9996659227542513
6	508	0.9996776238904259
6	647	0.9997242382019165
6	698	0.9996127336126999
6	786	0.9997863893765209
6	819	0.9996787652002785
6	821	0.999607170356609
6	831	0.9996339271779604
6	862	0.9997360259587873
6	868	0.9996612867412292
6	965	0.9997436194035991
6	985	0.9997338029433249
6	1051	0.9996625264075252
6	1061	0.9996350732462264
6	1062	0.9996060369171398
6	1092	0.9996161570872582
6	1175	0.9996027799523597
6	1294	0.9996663657344849
6	1302	0.9996218037003597
6	1310	0.9996346594703767
6	1315	0.9997645701361498
6	1383	0.9996276319327496
7	17	0.9996229706473769
7	31	0.9996398257217891
7	33	0.9997649878173245
7	65	0.9996811473795011
7	124	0.9996498788174666
7	149	0.9997683961166047
7	151	0.9998268450771339
7	152	0.9997628963160838
7	158	0.999671933390639
7	159	0.9997152753983389
7	164	0.9996343004122845
7	173	0.9997833069402075
7	175	0.999800248405788
7	190	0.9996830074505882
7	201	0.9996176258097731
7	204	0.9996529522734479
7	226	0.9996573400357371
7	230	0.9996588945525116
7	236	0.9996157018883046
7	242	0.9996091714867152
7	252	0.9996442995609104
7	255	0.9996568088038327
7	256	0.9996879561107546
7	265	0.9996218824443096
7	278	0.9996870902102925
7	284	0.9996658199053867
7	301	0.9997391965135587
7	306	0.999719678872387
7	338	0.999647215992016
7	345	0.9996729507339961
7	352	0.9998610151046428
7	382	0.9996685864569914
7	396	0.9997293392074988
7	404	0.9996240659704647
7	429	0.9997429124892327
7	435	0.9997968838805165
7	455	0.9996881769890489
7	456	0.9997326449590564
7	464	0.9996071171782852
7	472	0.9996744178458785
7	540	0.9997211528586714
7	547	0.999822432644306
7	601	0.9997067754334077
7	622	0.9997943246854857
7	623	0.999658884318025
7	629	0.999643993940629
7	650	0.9996686158802689
7	674	0.9996142155924921
7	683	0.9997196299619747
7	686	0.9996084823438771
7	710	0.9996875858684473
7	712	0.9996785874182508
7	718	0.9997741075428135
7	724	0.9996545466079843
7	778	0.9998184257405343
7	809	0.9996583811109098
7	827	0.9996956762055591
7	864	0.9998364137915052
7	884	0.9996105537316042
7	976	0.9997665054275736
7	981	0.9996108692467172
7	988	0.9996735404572272
7	1008	0.9996255467188107
7	1011	0.9996058187962037
7	1019	0.999729929539422
7	1031	0.9998130625735737
7	1034	0.9997227383692282
7	1043	0.9996303395298072
7	1047	0.9997107822014478
7	1075	0.9996722574489422
7	1078	0.9996473251785147
7	1087	0.9996210904266896
7	1117	0.9996491937087071
7	1166	0.9996795356437156
7	1171	0.9997090726350726
7	1179	0.9996506079582472
7	1196	0.9998500863395716
7	1197	0.999601091610844
7	1208	0.9996173419612782
7	1224	0.9998866707201728
7	1255	0.9996817122668037
7	1260	0.9996909052320995
7	1275	0.9996240679552244
7	1299	0.9998897371576652
7	1314	0.9996977135148717
7	1381	0.9997944662070486
7	1387	0.9996203004203086
7	1409	0.9996090157780719
7	1436	0.9996132350192986
8	26	0.9996116343810719
8	115	0.9996081758680182
8	180	0.9996145072517033
